"150","11","2010-10-18 16:21:12","mirathoe"
"151","11","2010-10-18 16:21:12","jonoddk"
"160","6","2010-10-18 16:21:12","inamugge"
"162","10","2010-10-18 16:21:12","inebeate"
"163","12","2010-10-18 16:21:12","akselsm"
"165","2","2010-10-18 16:21:12","marianur"
"166","5","2010-10-18 16:21:12","mariatom"
"167","7","2010-10-18 16:21:12","espentun"
"168","1","2010-10-18 16:21:12","marikja"
"170","2","2010-10-18 16:21:12","mosberg"
"172","1","2010-10-18 16:21:12","sunnivw"
"173","12","2010-10-18 16:21:12","roede"
"175","5","2010-10-18 16:21:12","maaland"
"178","2","2010-10-18 16:21:12","augustem"
"3","3","2010-11-14 22:31:02","storset"
"5","2","2010-11-14 22:31:02","skolem"
"8","2","2010-11-14 22:31:02","beckwith"
"10","1","2010-11-14 22:31:02","thorchri"
"11","5","2010-11-14 22:31:02","kenroger"
"12","12","2010-11-14 22:31:02","mariusuv"
"15","2","2010-11-14 22:31:02","audunnys"
"24","1","2010-11-14 22:31:02","vidarton"
"25","1","2010-11-14 22:31:02","haneberg"
"46","3","2010-11-14 22:31:02","andrerei"
"56","2","2010-11-14 22:31:02","elisaari"
"60","8","2010-11-14 22:31:02","jornhwan"
"72","1","2010-11-14 22:31:02","tomeripe"
"78","5","2010-11-14 22:31:02","oddmunh"
"86","4","2010-11-14 22:31:02","monikabl"
"87","4","2010-11-14 22:31:02","tarjeibo"
"93","8","2010-11-14 22:31:02","erlbeck"
"95","8","2010-11-14 22:31:02","andrejon"
"103","5","2010-11-14 22:31:02","jonatht"
"106","4","2010-11-14 22:31:02","idamahoi"
"107","3","2010-11-14 22:31:02","torstbra"
"109","1","2010-11-14 22:31:02","fredb"
"115","2","2010-11-14 22:31:02","idj"
"117","6","2010-11-14 22:31:02","snorreri"
"119","19","2010-11-14 22:31:02","asmundu"
"120","3","2010-11-14 22:31:02","tonjemt"
"121","1","2010-11-14 22:31:02","annebrle"
"124","5","2010-11-14 22:31:02","fredrol"
"125","15","2010-11-14 22:31:02","frederli"
"128","2","2010-11-14 22:31:02","hagenvik"
"129","2","2010-11-14 22:31:02","hannegry"
"130","5","2010-11-14 22:31:02","miakvale"
"132","5","2010-11-14 22:31:02","mollystr"
"133","6","2010-11-14 22:31:02","julieste"
"136","1","2010-11-14 22:31:02","astrima"
"142","1","2010-11-14 22:31:02","bjostro"
"148","1","2010-11-14 22:31:02","petterbu"
"149","1","2010-11-14 22:31:02","lisagreg"
